daerah;kategori;tahun;jumlah
Kulon Progo;bintang;2008;0
Kulon Progo;bintang;2012;0
Kulon Progo;bintang;2013;0
Kulon Progo;bintang;2014;0
Kulon Progo;bintang;2015;0
Kulon Progo;bintang;2016;0
Kulon Progo;non bintang;2008;12
Kulon Progo;non bintang;2012;26
Kulon Progo;non bintang;2013;26
Kulon Progo;non bintang;2014;27
Kulon Progo;non bintang;2015;26
Kulon Progo;non bintang;2016;27
Bantul;bintang;2008;0
Bantul;bintang;2012;1
Bantul;bintang;2013;1
Bantul;bintang;2014;1
Bantul;bintang;2015;1
Bantul;bintang;2016;1
Bantul;non bintang;2008;381
Bantul;non bintang;2012;284
Bantul;non bintang;2013;278
Bantul;non bintang;2014;248
Bantul;non bintang;2015;261
Bantul;non bintang;2016;260
Gunungkidul;bintang;2008;1
Gunungkidul;bintang;2012;1
Gunungkidul;bintang;2013;1
Gunungkidul;bintang;2014;1
Gunungkidul;bintang;2015;1
Gunungkidul;bintang;2016;1
Gunungkidul;non bintang;2008;54
Gunungkidul;non bintang;2012;62
Gunungkidul;non bintang;2013;61
Gunungkidul;non bintang;2014;70
Gunungkidul;non bintang;2015;69
Gunungkidul;non bintang;2016;87
Sleman;bintang;2008;12
Sleman;bintang;2012;20
Sleman;bintang;2013;21
Sleman;bintang;2014;26
Sleman;bintang;2015;26
Sleman;bintang;2016;26
Sleman;non bintang;2008;423
Sleman;non bintang;2012;374
Sleman;non bintang;2013;379
Sleman;non bintang;2014;366
Sleman;non bintang;2015;363
Sleman;non bintang;2016;363
Kota;bintang;2008;23
Kota;bintang;2012;32
Kota;bintang;2013;39
Kota;bintang;2014;43
Kota;bintang;2015;57
Kota;bintang;2016;60
Kota;non bintang;2008;326
Kota;non bintang;2012;354
Kota;non bintang;2013;362
Kota;non bintang;2014;356
Kota;non bintang;2015;362
Kota;non bintang;2016;358