Id,Label,timeset,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Weighted Degree,eigencentrality
4,RRW_Rockabilly,,1,5,0.361272,0.383133,3.377204,2,0.047928
5,JRX_SID,,7,4,0.559284,0.639667,3520.238008,78,1
17,MencariHaryadi,,2,4,0.415973,0.447,217.376234,10,0.112796
19,W2K_ERWE,,2,4,0.434028,0.462,73.941066,9,0.161879
28,singoterbang,,3,4,0.379363,0.418667,265.587824,13,0.086994
31,tribunjogja,,4,3,0.507099,0.544667,967.267084,30,0.473385
33,officialWCX,,0,4,0.393701,0.439667,361.588344,20,0.12993
42,infojogja,,7,4,0.499002,0.546333,653.098942,35,0.623581
43,killthedj,,2,3,0.581395,0.66,5044.172677,85,0.979878
44,fikrie,,3,5,0.302297,0.320333,2.003378,3,0.010893
45,nobodycorp,,3,5,0.331126,0.354933,40.967538,6,0.028975
55,ilalang_zaman,,3,4,0.378215,0.416,271.552215,12,0.081994
56,_rizkyprasetyaa,,2,4,0.366569,0.387667,10.776425,4,0.060893
61,infosenijogja,,2,4,0.462107,0.502667,361.17835,22,0.334133
65,Dimekk,,4,4,0.347705,0.362333,10.987725,3,0.031572
67,wobalkincai,,3,4,0.371471,0.402,86.331569,10,0.077277
68,AngrySipelebegu,,3,4,0.460405,0.498667,709.343336,20,0.242556
69,masbutet,,3,4,0.423729,0.454333,96.065686,10,0.163438
75,hanafirais,,3,4,0.338295,0.366667,105.400212,7,0.030907
77,arkorahardianto,,3,5,0.30012,0.320667,16.089871,4,0.010494
102,KRjogjadotcom,,2,4,0.359712,0.381,8.852151,5,0.06212
111,VIVAnews,,3,4,0.338753,0.362,37.501637,6,0.037378
125,Harian_Jogja,,4,4,0.399361,0.430333,21.448526,9,0.194611
129,subanonim,,3,4,0.403877,0.430333,49.307408,7,0.08943
135,fidoseptian48,,1,4,0.4,0.432667,337.992961,10,0.125819
140,Ardhi_Qeju,,3,4,0.389408,0.418667,201.916262,8,0.089276
144,enggarvaesty,,3,4,0.358166,0.380667,18.345853,3,0.0356
161,detikcom,,4,4,0.440141,0.472333,120.644423,13,0.229517
165,rickyouth,,3,4,0.324254,0.345333,18.680502,5,0.020175
166,rckprtm,,3,5,0.30012,0.3222,38.41289,4,0.012717
169,ajisuc,,3,4,0.42517,0.456667,101.026506,10,0.157746
172,wordpressdotcom,,3,4,0.310945,0.326333,9.39849,3,0.010147
175,anasir,,4,4,0.41876,0.448333,177.437553,9,0.199252
179,moshpito,,3,4,0.401929,0.427667,158.013095,6,0.10765
196,SBYudhoyono,,7,4,0.392465,0.422667,178.971561,8,0.126214
201,JogjaUpdate,,2,3,0.530786,0.586,2070.75707,50,0.717593
221,wargaberdaya,,4,3,0.538793,0.6,1732.806897,57,0.840168
226,GuyonWaton,,3,4,0.396825,0.427333,26.4116,7,0.104751
230,JogjaOraDidol,,3,3,0.545852,0.62,4831.483814,69,0.684689
260,shaggydogjogja,,7,4,0.440917,0.481667,313.466492,19,0.316409
273,EndankSoekamti_,,7,4,0.39557,0.432,46.65739,12,0.16296
277,GlennFredly,,7,4,0.402576,0.434,49.481362,9,0.140494
287,JHFcrew,,1,4,0.478927,0.536333,827.086582,38,0.478787
294,Metro_TV,,4,3,0.47259,0.522,372.328621,31,0.501824
323,IndraEndro,,3,4,0.39185,0.415667,17.773834,4,0.083354
360,ramaalagi,,2,4,0.431034,0.458333,65.295469,8,0.168595
362,antoGANTAZZ,,1,4,0.416667,0.449667,87.884329,11,0.157633
365,RaungSingosari,,3,4,0.410509,0.436333,28.587286,6,0.098261
369,foto_jogja,,3,4,0.415973,0.441667,38.0506,6,0.114154
376,pamityang2an,,3,4,0.362845,0.386,5.838317,3,0.045611
379,kompascom,,4,4,0.401284,0.440667,287.193131,15,0.199905
434,kompasiana,,4,5,0.320924,0.339133,5.734473,3,0.020631
446,tempodotco,,4,4,0.40783,0.433333,1.991488,5,0.137733
458,HaryadiSuyuti,,4,4,0.376506,0.406333,94.362512,10,0.094821
466,dabgenthong,,2,4,0.430293,0.459333,62.718436,9,0.172004
467,ridlwanjogja,,3,4,0.363372,0.388,2.113045,4,0.054734
478,putratama_,,3,4,0.363901,0.388333,34.124761,4,0.047365
479,theoadh,,3,4,0.365497,0.394667,9.209961,7,0.062575
493,tunggalp,,2,4,0.340599,0.363,254.639778,6,0.041098
498,theohendra,,3,4,0.413907,0.442333,83.613758,8,0.100623
499,galihpurnomo,,2,4,0.431779,0.464,211.217116,12,0.167561
512,king_surya,,7,4,0.441696,0.465667,7.309718,7,0.210984
522,resno_t,,3,5,0.309406,0.3256,3.476039,3,0.01189
528,toncemarince,,3,4,0.393082,0.422667,103.212568,5,0.083362
530,rasarab,,3,4,0.39185,0.419667,45.704694,6,0.083014
532,karmidarisa,,2,4,0.368189,0.387,0,1,0.043271
534,andichyo,,2,4,0.4,0.424333,7.517762,4,0.095696
540,therealismail,,2,5,0.254323,0.263733,0,1,0.002401
544,YogyakartaCity,,2,4,0.411862,0.448333,108.708893,13,0.19768
545,JogjaToday,,4,4,0.47081,0.510333,246.265759,23,0.415681
556,elfamous_,,3,4,0.386997,0.411333,18.010783,5,0.073141
562,Friday_Ride,,2,4,0.419463,0.458,235.138204,16,0.159472
564,jamaleltripot,,4,4,0.403226,0.430667,7.197585,6,0.149329
572,leoni_dewindra,,3,4,0.409836,0.44,261.851975,9,0.115553
594,joe_shanji,,2,3,0.442478,0.47,245.195098,10,0.16493
626,alitalit_,,3,4,0.384025,0.407333,58.621045,5,0.054877
631,fajardrumgombes,,7,5,0.328947,0.3448,4.071187,3,0.024578
637,chatissa,,2,4,0.384025,0.410333,26.516855,6,0.073401
672,dodoputrabangsa,,4,3,0.545852,0.624,2664.875903,72,0.942489
679,M2MX_SU,,1,4,0.392465,0.424,30.797582,9,0.112998
689,kikiepea,,3,3,0.433276,0.460667,232.775165,9,0.12799
708,anang_batas,,3,4,0.372024,0.399667,329.405644,6,0.05475
743,NovaBilly_,,7,4,0.441696,0.473667,262.634609,13,0.231881
748,RizaRidhwan,,2,4,0.35461,0.371,0,2,0.039214
760,mbahKJogja,,2,4,0.471698,0.511,607.657158,23,0.332119
766,nduglik,,3,4,0.434028,0.461,165.616579,8,0.14554
771,mryefta,,3,4,0.373134,0.395333,10.257678,4,0.055814
778,kota_jogja,,4,4,0.411862,0.448667,194.482505,14,0.196708
779,Teyenk_CRSN,,2,4,0.451264,0.476333,22.430734,9,0.250698
784,AchmadEnggar,,3,4,0.33557,0.352,6.450043,4,0.02861
785,BOBBYBIKUL,,7,4,0.4,0.432667,37.291285,10,0.177759
804,J_O_G_J_A,,3,5,0.319693,0.336267,3.541739,3,0.01774
822,JogjakartaKeras,,2,4,0.373692,0.399,10.577549,6,0.061454
854,awokwoke,,2,4,0.402576,0.426333,57.169762,4,0.079035
855,radiaska,,3,4,0.36075,0.385667,101.006061,4,0.039347
912,Ramoness13,,3,4,0.337838,0.352,2.884381,3,0.028367
914,tribunnews,,4,4,0.384615,0.412,8.351966,6,0.134211
917,IniSleman,,4,4,0.475285,0.505667,383.225541,17,0.370223
931,YoanVallone,,2,4,0.388199,0.416667,8.803577,7,0.120225
935,ErixSoekamti,,7,4,0.387597,0.418,20.157777,8,0.135116
938,HeyAmbon,,2,4,0.381679,0.408,51.809397,6,0.077956
954,Hanna_JKT48,,0,5,0.324675,0.3508,67.627586,6,0.027223
978,Farit_Sinatra,,4,4,0.409165,0.439667,113.669746,9,0.169846
999,SID_Official,,7,3,0.503018,0.558,1154.510661,42,0.593151
1002,terselubung,,3,4,0.356125,0.377,14.021278,2,0.032931
1003,shitlicious,,3,5,0.330251,0.352067,47.602647,6,0.02468
1071,cerita_kota,,3,4,0.357654,0.38,42.008499,3,0.03487
1107,sumbotinarbuko,,3,4,0.367107,0.392333,39.032139,5,0.064389
1110,JogjaMedia,,2,4,0.45208,0.496333,251.978548,23,0.339248
1121,si_choe,,4,4,0.428816,0.462667,201.805868,13,0.181901
1150,gisetra,,4,4,0.420875,0.450667,147.042654,9,0.175078
1153,youtube,,4,4,0.363372,0.388333,5.752361,4,0.051122
1172,adnanbajuri,,0,4,0.403226,0.444,320.903199,16,0.141711
1241,swaragamafm,,3,4,0.34965,0.368667,21.268737,3,0.035697
1242,joeyakarta,,4,4,0.487329,0.546667,547.715204,41,0.648957
1266,glennfredly,,3,4,0.396825,0.425,141.523414,6,0.095154
1277,OSDLR_SMGTMR,,7,4,0.36075,0.386667,27.648324,5,0.061114
1283,andreasyusak,,3,4,0.39557,0.420667,10.510049,5,0.085778
1291,yosuapratama_,,3,4,0.423012,0.449667,43.015594,7,0.136188
1296,8rianna_,,7,4,0.421585,0.456,45.179656,12,0.192683
1300,arssetiawang,,7,4,0.425894,0.456667,19.008804,10,0.217464
1305,GuyonAngkring,,2,4,0.401929,0.425667,4.815206,4,0.104286
1325,hafizaajiyoga,,2,4,0.401284,0.423667,7.934508,3,0.077717
1410,EHshopYK,,7,4,0.405844,0.433333,39.407801,6,0.112895
1417,Jogja24Jam,,2,4,0.503018,0.550333,701.689143,36,0.612347
1419,outSIDers_YK,,7,4,0.419463,0.447333,44.016748,8,0.149814
1464,pasagmerapi,,4,4,0.420168,0.460667,81.615974,17,0.309885
1499,baliekarock,,7,4,0.412541,0.444333,19.418699,9,0.159391
1519,Don_gundul,,0,4,0.357143,0.376333,9.014866,3,0.039055
1548,keJogja,,4,4,0.35868,0.383667,4.014865,4,0.066412
1553,WALHI_Jogja,,4,4,0.429553,0.465333,30.914651,14,0.311503
1562,ndesopetualang,,2,4,0.429553,0.457,42.199262,8,0.171488
1570,Dhanymandan,,7,4,0.419463,0.448667,60.766309,9,0.149156
1596,votarrock,,7,4,0.43554,0.469333,65.02425,13,0.260216
1597,BerandaJogja,,4,4,0.426621,0.458667,32.352104,11,0.279082
1622,raybalrst,,3,5,0.300842,0.313933,2.375433,2,0.008127
1652,maz_boy13,,2,4,0.398089,0.429667,118.170582,9,0.133546
1697,dessydanniswara,,5,0,0,0,0,0,0
1804,enogentho,,0,4,0.458716,0.500333,1014.331134,22,0.251863
1806,radarjogja,,3,4,0.401284,0.428667,17.608154,5,0.109463
1858,infobencana,,4,4,0.380518,0.405,1.494199,4,0.11443
1953,yoezznart,,2,4,0.386997,0.412667,6.740726,5,0.089142
1995,jogjaonlen,,2,5,0.320924,0.333133,0,1,0.014822
2011,danaretropolis,,4,4,0.41806,0.449333,23.551719,10,0.223309
2077,jokowi_do2,,4,4,0.44405,0.482,217.021191,17,0.291513
2082,starjogja,,4,4,0.408497,0.436667,2.554336,7,0.18088
2246,Milal_02,,7,4,0.369822,0.391333,0,2,0.069494
2430,Jogja_Uncover,,7,4,0.477099,0.512333,465.085541,21,0.38318
2457,RumbleRoyaleYK,,1,5,0.364964,0.390467,2.988201,4,0.070789
2469,HERUWA,,7,4,0.42517,0.455667,33.083289,10,0.194502
2470,theParade5,,7,5,0.347222,0.3676,13.192695,2,0.03417
2477,xRMBLx,,4,4,0.421585,0.451333,21.761169,9,0.226079
2529,herry_zudianto,,4,4,0.398089,0.421667,0,3,0.096962
2532,walhinasional,,4,4,0.42735,0.458,16.831045,10,0.220866
2553,cfc_story,,6,1,1,1,0,1,0.000515
2555,GuyonanGondes,,6,1,1,1,0,1,0.000515
2593,ErrorNamed,,3,4,0.423012,0.451,62.458719,7,0.145707
2603,jah_balance,,1,4,0.415973,0.448667,66.642077,11,0.156743
2604,alaikazizi,,1,4,0.420875,0.455333,168.9287,12,0.212918
2610,lantip,,1,5,0.369276,0.397467,7.166347,6,0.090711
2611,Radjapati,,1,4,0.382848,0.411667,6.06618,7,0.101139
2617,Gigih95s,,1,4,0.43554,0.473333,111.386683,16,0.274938
2633,gendovara,,7,5,0.367107,0.3928,2.180561,4,0.073784
2637,Dandhy_Laksono,,4,4,0.423729,0.451667,8.274869,8,0.224086
2685,KAKATOBILL,,4,4,0.434028,0.465,102.021677,11,0.222045
2804,YouTube,,4,4,0.428816,0.458667,53.552347,10,0.234134
2834,ardiesa_,,2,4,0.401284,0.428,118.715452,6,0.11068
2849,soerahman_yk,,4,3,0.52521,0.574667,1425.781152,44,0.680217
2868,bad1929boy,,4,4,0.41876,0.447333,12.385628,8,0.198511
2869,faishalfais,,3,4,0.401284,0.435333,192.651977,11,0.155602
2898,satria_pote,,4,4,0.421585,0.453333,6.10504,10,0.258551
2911,AnangCatur,,7,4,0.411184,0.444667,88.469644,11,0.195359
2927,Crs_tiant,,0,4,0.384025,0.415,160.198035,9,0.072774
3002,ForBALI13,,7,4,0.44484,0.486333,205.772116,20,0.32132
3005,NorthKendeng,,7,4,0.374813,0.400667,3.5263,5,0.092599
3007,gesitjogja,,7,4,0.439367,0.472333,164.358426,13,0.253166
3015,eza223,,7,4,0.382848,0.41,17.00604,6,0.108548
3027,Asnawi__13,,7,4,0.383436,0.412667,9.890307,7,0.120678
3043,rembugjogja,,7,4,0.52521,0.595333,2195.334935,59,0.736338
3045,agus_noor,,7,4,0.410509,0.434,0,4,0.126657
3149,jogjamedia,,3,5,0.300481,0.315333,0.532258,2,0.012328
3198,ERX_BASTARD,,7,4,0.41806,0.447667,3.73664,8,0.21758
3202,DarulAzis,,7,5,0.364964,0.390467,7.383263,5,0.08015
3203,area_jogja,,7,4,0.440141,0.477,180.857937,16,0.280674
3246,fky26,,2,4,0.396825,0.424,14.466221,6,0.116459
3260,Nabilaholic_JGJ,,0,5,0.344828,0.3726,23.26996,7,0.045677
3261,JKT48JOGJAFC,,0,4,0.419463,0.480667,1345.232969,31,0.202304
3262,nabilahJKT48,,0,4,0.35868,0.399667,118.801593,16,0.093479
3286,JogjaStudent,,2,4,0.426621,0.456667,16.012962,9,0.194865
3319,bayuagni12,,4,4,0.382263,0.411667,5.962966,8,0.156975
3343,SriPurnomoSP,,4,4,0.402576,0.432667,9.231544,8,0.183003
3345,KritikJogja,,2,4,0.391236,0.421333,6.23714,8,0.159743
3365,captainjackband,,1,4,0.378215,0.407,17.22955,5,0.093575
3376,IpanFebriyanto,,2,4,0.438596,0.466667,77.456435,9,0.217068
3396,jogjawispayu,,7,4,0.420875,0.451,14.539475,9,0.190588
3402,melaniesubono,,7,5,0.387597,0.4168,5.178867,6,0.119943
3410,Nugroho11Eko,,7,4,0.388199,0.414667,0.411504,4,0.112383
3422,Pondasi_Keras,,7,5,0.306373,0.319733,0,1,0.013916
3443,bebyJKT48,,0,5,0.342466,0.373267,33.113544,9,0.049163
3444,dhikeJKT48,,0,4,0.34626,0.374667,5.520934,8,0.062079
3447,kinalJKT48,,0,5,0.336927,0.366267,36.936761,8,0.045641
3451,Yulianto_adhi,,7,4,0.419463,0.448667,14.296245,8,0.188193
3523,mBaahPetruk,,1,5,0.286041,0.298067,0,1,0.005983
3706,xBENJUTx,,2,4,0.404531,0.432333,24.790071,7,0.128498
3728,kokomin1878,,4,4,0.412541,0.444667,8.009161,10,0.204327
3764,M_GraceJKT48,,0,5,0.349162,0.378133,52.09573,8,0.049849
3833,taufik_tfk,,0,4,0.417362,0.457667,487.510837,16,0.143996
3866,sarasdewi,,4,4,0.382848,0.408667,5.58221,5,0.08774
3871,gabramikael,,0,4,0.390016,0.419333,118.91698,8,0.085028
3887,UnderFireHeat,,7,4,0.455373,0.504667,308.834418,27,0.38265
3954,path_indo,,4,5,0.310559,0.325933,0.909524,3,0.019957
3979,metro_realitas,,4,4,0.404531,0.435333,13.297004,9,0.165479
3987,Hutama_Muchtar,,0,4,0.403877,0.450333,404.657664,20,0.189472
4031,HeruuuSA,,2,4,0.399361,0.427667,6.56905,7,0.155572
4052,simponii,,4,4,0.422297,0.452,11.340843,9,0.233271
4110,BEMFGEUGM,,2,4,0.417362,0.442333,0,5,0.179165
4203,pdgpenyok,,2,5,0.37092,0.399133,30.287674,7,0.07763
4211,KPK_RI,,4,4,0.425894,0.458,69.438163,11,0.24155
4215,adityaarfan_,,0,5,0.356633,0.385133,62.26652,9,0.050261
4219,KINEUKDW,,0,4,0.393701,0.420667,108.118267,6,0.066955
4221,JJFRadio,,0,4,0.369276,0.393667,30.275545,5,0.063647
4226,ketjilbergerak,,0,4,0.394945,0.429,119.941727,10,0.13418
4287,amin__rasyid,,0,4,0.381098,0.411667,62.716637,9,0.088893
4289,melodyJKT48,,0,5,0.329381,0.3584,22.941316,7,0.041254
4290,laksamanajensin,,0,4,0.391236,0.432,237.208544,16,0.110078
4293,YRimawan,,0,5,0.378788,0.406467,154.883737,6,0.056786
4302,Naomi_JKT48,,0,5,0.339213,0.360933,1.528303,4,0.032438
4303,Y_AndelaJKT48,,0,4,0.358166,0.39,61.401252,11,0.070564
4329,indrabayuf_,,0,5,0.320102,0.345533,0.982479,5,0.029866
4338,Tata_JKT48,,0,5,0.330251,0.355267,9.47735,6,0.03473
4351,sendyJKT48,,0,5,0.347705,0.3808,44.962593,11,0.060207
4358,veJKT48,,0,5,0.342466,0.3708,16.62659,8,0.045896
4359,N_ShaniJKT48,,0,4,0.346741,0.375333,8.174738,8,0.058707
4368,H_ElaineJKT48,,0,5,0.337382,0.3714,21.679507,10,0.053687
4375,C_MichelleJKT48,,0,5,0.331126,0.3618,20.852663,9,0.046203
4434,narajati10,,0,5,0.351124,0.3808,27.396183,9,0.053188
4437,ifanpaxindra,,0,5,0.304878,0.337,6.093401,7,0.032358
4463,Papah_Pandasu,,0,5,0.328084,0.3604,27.59014,9,0.04
4505,zhajanaarnoldi,,0,5,0.299043,0.322333,0.588889,3,0.016092
4512,Ary5Prasetyo,,0,5,0.326797,0.351733,6.076471,5,0.027981
4575,KompasTV,,4,4,0.437828,0.475,69.442166,16,0.328129
4583,KASKUS,,3,5,0.271444,0.282533,0,1,0.003
4612,GBT_YK,,4,4,0.378215,0.405667,41.7381,6,0.095851
4652,LBHYogya,,4,4,0.377644,0.402667,0.177778,5,0.145106
4658,jogjagumregah,,4,4,0.414594,0.444,4.571046,8,0.219728
4694,gurupetruk,,4,4,0.387597,0.415,4.79207,6,0.133332
4706,pandu_pethoex,,4,3,0.47619,0.519333,413.474623,27,0.418529
4809,revolt_warning,,4,4,0.36075,0.382,1.174576,4,0.073471
4879,MataNajwa,,4,4,0.447227,0.48,106.486443,14,0.303429
4921,AmarisHotels,,4,4,0.428816,0.455,10.351055,7,0.212263
4958,ChangeOrg_ID,,4,4,0.382263,0.409667,1.54556,6,0.150957
4960,Ivulpull,,4,4,0.403877,0.432333,20.105983,7,0.164637
5079,jokowi,,4,4,0.409836,0.439333,13.46817,8,0.203864
5100,gestobyk,,4,4,0.363372,0.389,0.447076,4,0.09171
